time,fut_temp,fut_rh,fut_uwind,fut_vwind,fut_wind,hist_temp,hist_rh,hist_ws,FWI,hist_temp-4,hist_rh-4,hist_ws-4,FWI-4,hist_temp-3,hist_rh-3,hist_ws-3,FWI-3,hist_temp-2,hist_rh-2,hist_ws-2,FWI-2,hist_temp-1,hist_rh-1,hist_ws-1,FWI-1,hist_temp0,hist_rh0,hist_ws0,FWI0,hist_temp1,hist_rh1,hist_ws1,FWI1,hist_temp2,hist_rh2,hist_ws2,FWI2,hist_temp3,hist_rh3,hist_ws3,FWI3,hist_temp4,hist_rh4,hist_ws4,FWI4,hour,dow,doy,month
2017-12-03 16:00:00,54.53962812500009,20.8,-9.081976400000002,-12.437386400000001,15.400353106116171,43.394,61.0,3.8029,5.637247299175383,39.974,72.69,1.5659,2.058436292513305,39.182,73.69,1.72249,2.139324841936426,44.546,81.5,1.07376,1.210809765353411,51.404,66.62,1.52116,2.397161652288701,52.05200000000001,58.31,1.47642,2.691707048219952,41.666,57.94,1.74486,2.9967522398056348,42.116,80.56,2.4607,2.2625299918446893,43.61,77.44,1.67775,1.878860336399576,44.114,68.31,1.61064,2.370850729207535,0.618369803069737,0.7559753651467324,0.7975890542112029,0.8414709848078965
2018-05-13 10:00:00,65.92102812500005,22.5,6.4423872,1.2079476000000002,6.55465408996307,66.30799999999999,50.56,4.07134,6.897954491157185,57.686,57.88,6.62152,10.25589900950903,58.874,53.56,4.20556,6.910309513558485,55.67,65.0,5.122730000000001,7.155163818395345,59.342,44.25,3.42261,6.475030476168083,57.992,42.38,6.44256,12.099240584963184,59.162,53.44,4.45163,7.303232788809127,67.91,56.62,4.42926,7.167810080843611,68.81,57.19,3.78053,6.145997189967963,75.254,36.94,3.10943,6.607629353943304,0.40471456356112473,0.7559753651467324,0.3563733969778998,0.40471456356112473
2023-03-03 10:00:00,40.53920000000005,61.0,3.0422384000000005,0.49212680000000003,3.0817857274172717,40.946,77.38,1.38694,1.636839956679913,54.158,28.75,1.16324,3.344663386771294,48.074,50.19,3.15417,5.314417005141376,38.264,77.44,2.505440000000001,2.558938130264361,52.088,69.94,4.093710000000001,5.157514545990162,61.538,42.31,3.28839,6.410025865182107,70.178,27.62,2.41596,5.879922247293736,70.73599999999999,21.25,1.61064,4.595188861055406,66.362,26.81,1.76723,4.590887989118018,61.322,29.5,1.96856,4.809172951572386,0.40471456356112473,0.5408342133588315,0.16904733586813858,0.24740395925452294
2018-05-03 16:00:00,71.31740000000003,20.4,1.5882274,0.31317160000000005,1.6188090453037753,68.99000000000001,52.56,5.346430000000001,8.88814077758708,63.14,53.5,3.48972,5.843236245540619,54.122,62.56,3.37787,5.024933195444474,67.244,58.31,4.33978,6.895405158274039,82.79599999999999,49.88,2.75151,5.0899319942100885,81.464,53.56,1.67775,3.230460034068812,74.96600000000001,62.5,4.2503,6.475211415557704,71.87,61.12,5.525390000000001,8.451802571061549,67.658,58.75,5.055619999999999,7.943464423818957,64.922,49.94,3.60157,6.359229224069489,0.618369803069737,0.415571854993052,0.33064440357052394,0.40471456356112473
2023-01-29 22:00:00,34.412000000000056,97.5,-2.6619586,-0.8276678000000001,2.7876616680061446,32.918,90.25,1.3422,0.8258220667659597,34.196,69.69,3.73579,4.581695446242184,30.686,65.81,4.42926,5.833626344733636,41.846,84.44,1.23035,1.135584193479119,44.24,60.31,1.63301,2.777379731514617,40.82,62.31,1.38694,2.38992567034392,40.694,61.38,2.05804,3.245510951014615,39.794,59.69,2.95284,4.526323903639296,41.216,68.12,1.74486,2.5107121478453305,36.914,59.88,4.45163,6.573506022233033,0.793577803248942,0.7559753651467324,0.07936848928377097,0.08323691620031025
2020-04-06 22:00:00,45.55402812500006,82.2,-2.6172198,4.362033,5.086960917345547,36.068,93.62,1.5659,0.7117146117953095,41.792,94.62,3.5792,1.3386239655246324,42.926,89.5,1.36457,0.9158335500256756,38.714,93.5,1.58827,0.7371369323652261,55.058,96.62,3.17654,1.0584722965759163,58.892,69.88,1.76723,2.525359136320562,51.404,76.44,2.05804,2.323123189602996,45.338,79.69,2.28174,2.216405963022029,49.172,93.0,1.20798,0.6778936189936727,49.91,85.12,1.61064,1.3484458810075677,0.793577803248942,0.0,0.26263631823147177,0.3271946967961522
2018-01-23 10:00:00,36.566628125000065,61.400000000000006,-4.5409882,-4.2054472,6.189213195918128,54.194,47.31,2.9081,5.341815251419355,38.192,80.62,1.72249,1.673466436203423,38.804,66.5,1.18561,1.996391523418837,37.058,76.38,1.49879,1.7674561813601304,36.644,82.94,0.6711,0.910815212930195,36.248,87.69,0.87243,0.7827532289533601,35.096000000000004,96.69,8.76904,2.423120228159057,35.798,98.62,3.53446,0.7667606610915865,34.538,97.31,5.32406,1.3644341317140702,38.12,98.94,2.48307,0.5412790507548957,0.40471456356112473,0.14237172979226365,0.06297200521781117,0.08323691620031025
2017-07-23 16:00:00,95.93242812500006,17.5,5.2791784,6.2858014,8.208594509370561,99.14,11.62,3.5792,10.352946278442312,102.38,8.69,5.23458,15.543240163530582,100.454,8.19,4.89903,14.68573599651175,98.042,7.44,3.66868,11.289509754463312,98.348,6.62,3.19891,10.077680908224592,98.402,6.56,6.9347,21.086995402069345,94.244,6.62,6.554410000000001,19.91480195182047,91.58,10.31,5.70435,16.24424538250834,90.77,11.81,3.5792,10.242116731353947,86.918,13.69,4.67533,12.850082591943274,0.618369803069737,0.7559753651467324,0.530257380384088,0.5508090958869698
2021-04-28 10:00:00,59.369028125000085,23.9,1.1632088,-12.6834498,12.736677492247242,74.066,13.5,3.28839,9.134538870838488,69.94399999999999,33.56,4.49637,9.648971847390312,70.68199999999999,27.5,4.87666,11.216624106576134,75.02,28.62,6.2636,14.17096305318239,80.762,38.06,4.16082,8.59297992607716,81.266,35.12,2.93047,6.446227095406064,73.58000000000001,32.5,4.093710000000001,8.976406143500228,75.70400000000001,33.25,3.31076,7.31824762972663,79.718,28.69,2.93047,6.947537228587,77.0,33.0,4.49637,9.790129846950853,0.40471456356112473,0.28184285212220994,0.317685628932238,0.3271946967961522
2023-05-03 16:00:00,67.035228125,19.700000000000003,-1.5434886000000003,18.588971400000002,18.652941182782623,49.208,76.62,2.63966,2.833063400861307,66.434,30.62,6.174119999999999,13.518304400651324,70.178,40.88,4.33978,8.537218744350042,75.74000000000001,22.69,4.29504,10.568578380313957,79.48400000000001,18.25,2.72914,7.36042875672018,70.952,22.44,4.63059,11.327981830075723,66.254,37.5,5.18984,10.51291072251674,69.69200000000001,31.88,7.02418,15.160285072201049,69.638,37.62,6.4873,13.086813800669589,66.56,27.38,5.480650000000001,12.51425277172494,0.618369803069737,0.28184285212220994,0.33064440357052394,0.40471456356112473
