time,fut_temp,fut_rh,fut_uwind,fut_vwind,fut_wind,hist_temp,hist_rh,hist_ws,FWI,hist_temp-4,hist_rh-4,hist_ws-4,FWI-4,hist_temp-3,hist_rh-3,hist_ws-3,FWI-3,hist_temp-2,hist_rh-2,hist_ws-2,FWI-2,hist_temp-1,hist_rh-1,hist_ws-1,FWI-1,hist_temp0,hist_rh0,hist_ws0,FWI0,hist_temp1,hist_rh1,hist_ws1,FWI1,hist_temp2,hist_rh2,hist_ws2,FWI2,hist_temp3,hist_rh3,hist_ws3,FWI3,hist_temp4,hist_rh4,hist_ws4,FWI4,hour,dow,doy,month
2018-08-24 10:00:00,75.64282812500008,11.3,-2.4830034000000003,8.903021200000001,9.242785963769855,81.69800000000001,17.62,2.10278,5.9528786704330265,101.642,8.88,1.49879,5.2384075268435,103.118,8.5,0.29081,3.0470170557886664,97.466,6.5,1.31983,4.987039321507853,92.822,10.94,1.47642,4.973084278443327,92.714,14.56,1.67775,5.229737209505123,97.214,15.88,0.8948,3.556505885602577,92.066,15.44,2.75151,7.756112540292859,94.19,15.75,2.32648,6.700204445159852,96.638,14.0,0.96191,3.754029886104685,0.40471456356112473,0.5408342133588315,0.6024565477924997,0.618369803069737
2018-05-02 22:00:00,43.67122812500007,59.400000000000006,-2.5948504,1.230317,2.8717465972590897,54.914,83.44,1.65538,1.5131716712798613,48.182,73.81,2.37122,2.813799987833037,49.118,76.88,2.28174,2.478080841373648,63.77,88.19,1.36457,1.0737646609547309,69.94399999999999,63.88,2.19226,3.462334714895687,62.366,87.69,1.7896,1.3310387571459392,55.886,91.69,1.27509,0.7985740418489927,52.232,90.94,1.23035,0.8105603685575773,53.6,87.62,1.49879,1.13787690851654,44.33,82.88,1.87908,1.6531377322092966,0.793577803248942,0.28184285212220994,0.32805753461442005,0.40471456356112473
2019-02-21 16:00:00,25.104228125000077,89.60000000000001,-0.2013246,1.006623,1.026558063966262,42.638,65.94,1.99093,2.9233814496638355,46.49,73.81,1.2527200000000005,1.7455969950134749,45.518,62.62,1.85671,2.958011687724828,46.364,48.62,0.8948,2.2715788685051703,42.404,62.06,1.8119700000000003,2.9130354348639727,45.14,70.44,0.93954,1.6337507614338531,40.028,66.75,0.98428,1.80096107819182,41.684,56.75,1.1185,2.266741689163692,41.594,49.56,3.69105,6.360478275501512,60.116,79.31,0.98428,1.318651509841629,0.618369803069737,0.415571854993052,0.14198431644722623,0.16589613269341502
2019-06-21 22:00:00,49.72642812500003,46.3,-5.480503000000001,-0.4026492,5.495274288993193,61.232,56.06,1.67775,3.0672472308685896,67.64,45.31,1.00665,2.5672125469083564,70.59200000000001,55.31,1.00665,2.277103420679389,70.48400000000001,40.81,1.76723,3.897188542592535,69.386,53.38,1.36457,2.751209586836767,68.23400000000001,51.81,1.58827,3.077198056445484,70.754,46.06,1.31983,2.9786601947892675,76.49600000000001,41.31,1.3422,3.214616381817652,69.494,62.31,1.18561,2.2841668984024857,65.642,64.56,1.07376,2.0667651563159537,0.793577803248942,0.5408342133588315,0.4539851346904416,0.479425538604203
2018-01-23 10:00:00,34.72702812500008,83.30000000000001,-3.1540854,-3.4672570000000005,4.6872300791130534,48.47,68.88,1.38694,2.129713634369924,45.068,64.94,2.237,3.294706658478681,40.91,77.5,1.85671,2.010125977925696,39.344,74.19,0.42503,1.1500839659165047,37.022,88.12,2.39359,1.4956113718926924,36.626,98.12,1.92382,0.4940522971088504,38.912,95.06,1.74486,0.6816630196177353,37.112,99.62,1.85671,0.3718829677869882,36.176,99.38,2.34885,0.4669046466410138,34.394,100.0,1.36457,0.2665399715020423,0.40471456356112473,0.14237172979226365,0.06297200521781117,0.08323691620031025
2017-07-23 16:00:00,91.88242812500006,9.9,4.4291412,4.47388,6.295466148263959,101.39,9.5,3.73579,11.13612510502172,107.474,6.06,3.31076,10.511664417272016,106.952,8.56,2.12515,6.874456528867814,103.406,6.62,3.08706,9.770121580186606,104.666,6.81,2.70677,8.666012591104241,103.658,5.44,1.23035,4.859701193205499,98.618,6.81,1.47642,5.346614345937622,95.126,7.31,4.42926,13.496829045302563,91.436,11.19,3.40024,9.842716236646655,89.22200000000001,11.94,4.49637,12.656118069895978,0.618369803069737,0.7559753651467324,0.530257380384088,0.5508090958869698
2020-07-08 22:00:00,67.25842812500005,26.5,-0.7381902000000001,-6.3081708,6.351215916133593,71.24000000000001,33.75,1.36457,3.5408485943217123,73.112,40.56,1.2527200000000005,3.0951089441538024,72.914,44.62,1.00665,2.605170941856908,75.18199999999999,37.88,1.47642,3.566173512937186,73.03999999999999,46.12,1.83434,3.765255520312961,69.188,45.38,1.76723,3.677143899642782,68.018,45.75,1.49879,3.24341090435909,69.62,42.88,1.07376,2.7424375591664005,69.72800000000001,41.0,1.96856,4.224243797219687,67.964,49.38,1.1185,2.579964253197918,0.793577803248942,0.28184285212220994,0.4973555805860437,0.5508090958869698
2023-05-03 16:00:00,63.1760281250001,15.4,-1.1632088,11.721565600000002,11.779140665918751,59.342,57.88,1.74486,3.088487467848832,60.8,37.19,4.45163,9.053946578815454,64.274,54.25,4.27267,7.035265111379218,64.922,56.94,2.88573,4.782207288419076,82.742,29.19,2.03567,5.075651162986899,74.49799999999999,34.5,1.94619,4.554964798530895,60.008,36.81,3.75816,7.746077153438452,74.408,32.31,0.69347,2.600434703919116,66.02,43.25,3.89238,7.446134964154788,70.268,42.31,2.34885,4.80872248228469,0.618369803069737,0.28184285212220994,0.33064440357052394,0.40471456356112473
2021-09-05 10:00:00,84.29720000000006,5.9,0.8947760000000001,0.0223694,0.8950555738234136,91.094,8.69,1.45405,5.126913321913695,89.618,3.81,1.45405,5.531470084733437,88.48400000000001,7.88,3.66868,11.179705224370606,104.522,9.0,0.98428,4.076160977323005,102.47,7.94,0.91717,4.003254655232257,96.242,11.88,0.4474,3.0340148741037094,90.03200000000001,17.94,0.80532,3.299403755114334,91.13,16.5,0.91717,3.5485087300869185,90.896,15.69,2.08041,6.090611331858495,95.162,11.0,1.40931,4.827666067549789,0.40471456356112473,0.7559753651467324,0.6283668624009903,0.6816387600233341
2022-09-15 22:00:00,59.22500000000011,45.6,-0.2013246,-0.4697574,0.5110808247429364,63.248000000000005,40.44,1.38694,3.269683210301089,56.822,60.94,1.47642,2.6204604927447077,55.922,84.81,1.31983,1.2194567077171878,64.382,32.5,1.23035,3.3430681624385903,67.982,23.12,1.83434,4.940657407491196,74.57,27.0,0.64873,2.713064154677752,72.68,24.0,1.90145,5.0542392614252885,71.78,27.38,2.237,5.535471890617512,68.25200000000001,40.06,1.38694,3.3036968326638187,73.994,34.56,1.45405,3.668971857553704,0.793577803248942,0.415571854993052,0.649441180325217,0.6816387600233341
