time,fut_temp,fut_rh,fut_uwind,fut_vwind,fut_wind,hist_temp,hist_rh,hist_ws,FWI,hist_temp-4,hist_rh-4,hist_ws-4,FWI-4,hist_temp-3,hist_rh-3,hist_ws-3,FWI-3,hist_temp-2,hist_rh-2,hist_ws-2,FWI-2,hist_temp-1,hist_rh-1,hist_ws-1,FWI-1,hist_temp0,hist_rh0,hist_ws0,FWI0,hist_temp1,hist_rh1,hist_ws1,FWI1,hist_temp2,hist_rh2,hist_ws2,FWI2,hist_temp3,hist_rh3,hist_ws3,FWI3,hist_temp4,hist_rh4,hist_ws4,FWI4,hour,dow,doy,month
2018-08-24 10:00:00,83.65642812500008,42.7,3.1988242000000002,5.391025400000001,6.268622745543937,84.902,32.5,7.89661,17.167835555216072,102.272,19.0,8.79141,22.75533066136516,97.628,15.94,3.84764,10.533871840627103,95.18,13.25,4.40689,12.31089479669552,90.266,21.88,5.41354,13.525534448136568,85.964,29.0,1.65538,4.353042614976282,83.858,33.56,7.270250000000001,15.611432692284035,88.754,30.0,4.07134,9.353925168830516,83.066,33.12,6.44256,13.93016960175018,81.824,33.88,6.62152,14.159179286752815,0.40471456356112473,0.5408342133588315,0.6024565477924997,0.618369803069737
2018-05-02 22:00:00,53.571228125000076,40.8,-3.0198690000000004,2.0356154,3.6418867134876893,49.784000000000006,90.94,4.72007,2.4407648648361637,45.698,90.5,13.01934,6.690594653743527,51.89,92.12,6.39782,3.036911272059084,61.05200000000001,80.25,2.37122,2.34056820024181,61.196,75.31,1.83434,2.252731325319676,59.666,64.75,1.07376,2.036364217139069,58.964,58.62,1.5659,2.826654863542315,56.786,59.31,0.91717,2.0389962341161127,54.536,72.94,2.48307,3.0457002088158154,55.058,79.19,3.93712,3.7824032690730056,0.793577803248942,0.28184285212220994,0.32805753461442005,0.40471456356112473
2019-02-21 16:00:00,45.22102812500005,89.60000000000001,5.3239172,7.8516594,9.48644557703591,42.422,86.06,7.359730000000001,4.908228153051527,55.832,28.31,4.89903,10.979183938279563,52.466,23.31,8.276900000000001,19.34620381049743,47.354,38.81,10.49153,20.19374495485044,47.66,73.62,10.04413,11.084483741100543,48.236,48.25,6.420190000000001,11.075489622923875,50.054,26.0,1.76723,4.553392165532324,45.068,62.0,14.78657,20.981986327094628,55.994,62.0,11.22974,16.2810664566709,63.77,35.25,1.47642,3.635005259035303,0.618369803069737,0.415571854993052,0.14198431644722623,0.16589613269341502
2019-06-21 22:00:00,76.6760281250001,30.200000000000003,7.0239916000000004,-0.6263432000000001,7.051862434921487,55.13,90.88,6.0399,3.1818506163982163,60.71,56.38,4.2503,6.8296264333211605,57.056,85.56,4.093710000000001,3.0027904723393344,55.616,87.19,3.19891,2.1832201390371546,62.51,53.25,3.53446,5.917484697841944,63.068000000000005,61.19,4.49637,6.819392764101599,62.69,73.06,4.56348,5.398048583163526,60.746,83.5,5.65961,4.565847787472947,55.742,93.75,6.30834,2.6824214067317715,54.41,86.38,7.628170000000001,5.210732400665881,0.793577803248942,0.5408342133588315,0.4539851346904416,0.479425538604203
2018-01-23 10:00:00,51.031428125000076,24.4,-8.321416800000002,-8.724066,12.056338794662262,63.716,26.62,9.95465,22.605451459617463,49.514,33.12,16.71039,34.461647695905064,51.818,37.0,8.41112,16.67797809712049,51.926,36.12,1.74486,4.003028384558718,45.824,74.44,7.18077,7.7353665005520735,48.668,83.12,15.166860000000002,11.834929450046708,49.892,72.31,10.75997,12.378998786705573,50.864,69.94,12.79564,15.666670664940948,50.252,86.88,18.07496,11.766520718758562,53.798,89.25,13.44437,7.742944763012173,0.40471456356112473,0.14237172979226365,0.06297200521781117,0.08323691620031025
2017-07-23 16:00:00,78.35722812500003,60.900000000000006,2.8409138,4.4962494,5.318557124449337,87.872,30.44,6.330710000000001,14.212250324600816,89.744,25.75,10.021760000000002,23.64605485015359,96.8,22.75,7.04655,17.43244707309315,89.96000000000001,28.25,7.1584,16.48434261058923,87.656,23.31,7.449210000000001,18.113073722841097,89.402,28.06,9.283550000000002,21.32967721401249,99.194,14.56,8.74667,23.731846756765016,95.684,18.06,9.21644,23.93192923209664,92.372,19.88,8.25453,20.95032125735191,90.068,18.94,7.69528,19.715505454754624,0.618369803069737,0.7559753651467324,0.530257380384088,0.5508090958869698
2020-07-08 22:00:00,85.17922812500008,25.200000000000003,3.7580592,1.0289924000000001,3.8963873408533702,59.954,75.25,2.25937,2.66104637975892,68.108,41.31,1.07376,2.791331666634323,73.03999999999999,35.31,2.05804,4.709350043004396,68.864,45.5,3.04232,5.788524727095646,64.364,58.12,3.51209,5.639295272445048,59.0,66.38,2.55018,3.679969668174352,55.094,91.0,3.19891,1.727451184769798,55.094,93.62,4.048970000000001,1.7648452661052687,59.81,72.56,2.12515,2.7332120239575275,59.036,77.44,2.03567,2.270667253857237,0.793577803248942,0.28184285212220994,0.4973555805860437,0.5508090958869698
2023-05-03 16:00:00,79.03042812500009,14.8,14.137460800000001,11.6768268,18.336195951961653,53.42,68.0,10.67049,13.759239507059666,65.93,55.81,10.78234,17.17341104215926,73.436,28.81,7.89661,17.712495575253527,76.622,23.88,9.88754,23.512107905776737,80.636,21.38,5.68198,14.111127278473758,73.05799999999999,33.69,7.583430000000001,16.053370753706226,68.21600000000001,44.88,9.57436,17.522197247289647,63.068000000000005,62.44,8.56771,12.53064391748868,73.184,35.38,9.08222,18.792831548007808,77.864,20.69,4.20556,10.62620437746114,0.618369803069737,0.28184285212220994,0.33064440357052394,0.40471456356112473
2021-09-05 10:00:00,85.75880000000008,36.4,0.6934514,3.1764548,3.251267436032447,99.752,15.0,1.23035,4.255305976081201,84.218,12.75,7.583430000000001,20.71880441499573,80.726,53.25,5.3688,9.041112312460308,96.026,20.5,4.76481,12.227402395672195,108.464,10.75,1.90145,6.1015153242144144,108.266,12.5,7.13603,20.06573984737493,99.176,17.69,4.40689,11.757821545645378,94.028,23.62,0.64873,2.8818893852298024,89.708,27.5,4.183190000000001,9.893209335338517,85.91,25.75,6.4873,15.347342429133985,0.40471456356112473,0.7559753651467324,0.6283668624009903,0.6816387600233341
2022-09-15 22:00:00,78.02780000000004,49.900000000000006,3.6462122,2.6395892,4.501365854069793,60.044,96.06,3.5792,1.2927814999292992,60.242,73.06,1.47642,2.048868889023033,58.676,75.25,2.66203,3.0531533976835155,62.348,64.94,2.86336,4.216210118288067,59.27,82.25,3.48972,3.031062831779969,59.45,76.38,2.9081,3.1921976828714738,61.934,70.12,1.14087,1.8882123562013189,66.938,44.0,1.72249,3.65995092841479,72.392,39.62,2.48307,5.224505864081136,73.418,53.69,1.94619,3.572198020691584,0.793577803248942,0.415571854993052,0.649441180325217,0.6816387600233341
