YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,6,21,0.23,98.19,5.44
2016,1,6,22,0.29,96.12,5.48
2016,1,6,23,0.21,95.38,5.57
2016,1,7,0,0.09,94.88,5.46
2016,1,7,1,0.11,95.0,5.24
2016,1,7,2,0.08,95.0,5.16
2016,1,7,3,0.09,94.62,5.15
2016,1,7,4,0.12,94.0,5.2
2016,1,7,5,0.12,93.81,5.23
2016,1,7,6,0.14,93.38,5.25
2016,1,7,7,0.11,99.69,5.07
2016,1,7,8,0.04,100.0,5.22
2016,1,7,9,0.06,96.56,5.72
2016,1,7,10,0.06,96.38,6.59
2016,1,7,11,0.06,91.69,8.3
2016,1,7,12,0.1,74.94,9.05
2016,1,7,13,0.12,69.44,9.05
2016,1,7,14,0.15,69.5,8.95
2016,1,7,15,0.15,76.56,8.19
2016,1,7,16,0.38,91.25,6.28
2016,1,7,17,0.63,95.25,4.82
2016,1,7,18,0.5,98.69,4.44
2016,1,7,19,0.44,98.69,4.68
2016,1,7,20,0.36,98.19,4.87
2016,1,7,21,0.44,99.5,4.56
2016,1,7,22,0.48,100.0,4.32
2016,1,7,23,0.42,99.5,4.61
2016,1,8,0,0.43,98.12,4.9
2016,1,8,1,0.46,96.94,5.19
2016,1,8,2,0.51,96.69,5.25
2016,1,8,3,0.51,96.5,5.32
2016,1,8,4,0.45,96.5,5.39
2016,1,8,5,0.22,95.94,5.55
2016,1,8,6,0.12,96.12,5.33
2016,1,8,7,0.39,97.75,4.69
2016,1,8,8,0.21,98.06,5.35
2016,1,8,9,0.2,92.38,6.4
2016,1,8,10,0.21,85.5,7.4
2016,1,8,11,0.23,77.69,8.45
2016,1,8,12,0.27,71.88,9.19
2016,1,8,13,0.29,70.38,9.22
2016,1,8,14,0.3,72.56,8.79
2016,1,8,15,0.3,81.62,7.9
2016,1,8,16,0.38,92.12,6.61
2016,1,8,17,0.52,94.62,5.73
2016,1,8,18,0.45,96.81,5.32
2016,1,8,19,0.44,97.88,5.11
2016,1,8,20,0.37,98.44,4.94
2016,1,8,21,0.4,98.44,4.9
2016,1,8,22,0.44,98.12,5.01
2016,1,8,23,0.46,98.25,5.01
2016,1,9,0,0.5,98.25,5.11
2016,1,9,1,0.55,98.5,5.18
2016,1,9,2,0.56,98.69,5.14
2016,1,9,3,0.55,98.69,5.15
2016,1,9,4,0.55,98.75,5.05
2016,1,9,5,0.53,98.88,4.8
2016,1,9,6,0.54,98.88,4.62
2016,1,9,7,0.52,98.88,4.56
2016,1,9,8,0.46,98.88,4.65
2016,1,9,9,0.42,98.69,4.92
2016,1,9,10,0.37,98.5,5.2
2016,1,9,11,0.32,98.38,5.51
2016,1,9,12,0.26,98.25,5.8
2016,1,9,13,0.21,97.94,6.17
2016,1,9,14,0.18,97.94,6.44
2016,1,9,15,0.2,98.12,6.51
2016,1,9,16,0.2,99.12,6.12
2016,1,9,17,0.25,100.0,5.33
2016,1,9,18,0.26,99.69,5.44
2016,1,9,19,0.22,99.31,5.57
2016,1,9,20,0.19,99.25,5.49
2016,1,9,21,0.24,99.06,5.51
2016,1,9,22,0.28,98.81,5.68
2016,1,9,23,0.23,99.0,5.56
2016,1,10,0,0.23,99.44,5.3
2016,1,10,1,0.26,99.62,5.09
2016,1,10,2,0.3,99.69,5.0
2016,1,10,3,0.34,99.44,5.1
2016,1,10,4,0.39,99.69,4.67
2016,1,10,5,0.44,99.62,4.37
2016,1,10,6,0.46,99.5,4.15
2016,1,10,7,0.46,99.31,3.98
2016,1,10,8,0.46,98.62,4.32
2016,1,10,9,0.48,96.75,5.19
2016,1,10,10,0.46,91.5,6.47
2016,1,10,11,0.41,81.5,7.92
2016,1,10,12,0.41,71.25,9.16
2016,1,10,13,0.42,66.75,9.72
2016,1,10,14,0.41,67.25,9.62
2016,1,10,15,0.37,72.25,8.83
2016,1,10,16,0.37,86.69,6.77
2016,1,10,17,0.48,95.81,4.73
2016,1,10,18,0.46,94.62,4.89
2016,1,10,19,0.47,94.62,4.84
2016,1,10,20,0.48,94.56,4.95
2016,1,10,21,0.47,95.88,4.89
2016,1,10,22,0.48,96.69,4.83
2016,1,10,23,0.47,95.44,5.18
2016,1,11,0,0.45,94.38,5.57
2016,1,11,1,0.47,93.94,5.76
2016,1,11,2,0.48,93.94,5.73
2016,1,11,3,0.5,94.56,5.68
2016,1,11,4,0.5,95.25,5.6
2016,1,11,5,0.5,95.81,5.53
2016,1,11,6,0.52,96.19,5.48
2016,1,11,7,0.5,96.69,5.4
2016,1,11,8,0.48,96.62,5.65
2016,1,11,9,0.43,96.31,6.23
2016,1,11,10,0.41,96.12,6.76
2016,1,11,11,0.41,95.25,7.3
2016,1,11,12,0.42,94.31,7.68
2016,1,11,13,0.41,94.19,7.78
2016,1,11,14,0.4,94.62,7.76
2016,1,11,15,0.39,95.56,7.61
2016,1,11,16,0.38,96.62,7.27
2016,1,11,17,0.37,97.75,6.84
2016,1,11,18,0.38,97.81,6.67
2016,1,11,19,0.39,97.88,6.54
2016,1,11,20,0.41,98.56,6.23
2016,1,11,21,0.41,98.38,6.24
2016,1,11,22,0.44,98.25,6.3
2016,1,11,23,0.43,98.69,6.26
2016,1,12,0,0.47,98.62,6.2
2016,1,12,1,0.59,96.31,6.83
2016,1,12,2,0.68,95.25,7.32
2016,1,12,3,0.55,98.0,6.85
2016,1,12,4,0.45,99.06,6.72
2016,1,12,5,0.48,98.31,7.08
2016,1,12,6,0.46,98.06,6.98
2016,1,12,7,0.47,97.94,6.82
2016,1,12,8,0.45,97.56,6.82
2016,1,12,9,0.45,97.19,7.03
2016,1,12,10,0.47,96.81,7.3
2016,1,12,11,0.46,96.44,7.55
2016,1,12,12,0.46,96.38,7.68
2016,1,12,13,0.44,96.81,7.69
2016,1,12,14,0.45,97.44,7.69
2016,1,12,15,0.47,98.06,7.77
2016,1,12,16,0.52,98.88,8.1
2016,1,12,17,0.58,99.19,8.89
2016,1,12,18,0.65,98.81,9.58
2016,1,12,19,0.73,98.19,9.75
2016,1,12,20,0.74,98.06,9.69
2016,1,12,21,0.72,98.31,9.76
2016,1,12,22,0.69,98.5,10.05
2016,1,12,23,0.68,98.75,10.3
2016,1,13,0,0.65,98.94,10.46
2016,1,13,1,0.61,99.0,10.54
2016,1,13,2,0.58,98.88,10.29
2016,1,13,3,0.56,98.31,9.48
2016,1,13,4,0.5,98.62,8.98
2016,1,13,5,0.48,98.56,8.92
2016,1,13,6,0.51,98.44,8.8
2016,1,13,7,0.52,98.56,8.65
2016,1,13,8,0.56,98.19,8.57
2016,1,13,9,0.59,97.75,8.48
2016,1,13,10,0.64,97.19,8.5
2016,1,13,11,0.69,95.5,8.59
2016,1,13,12,0.66,95.75,8.09
2016,1,13,13,0.63,95.94,7.7
2016,1,13,14,0.59,95.06,7.52
2016,1,13,15,0.49,94.12,7.44
2016,1,13,16,0.44,95.0,6.7
2016,1,13,17,0.44,97.69,5.32
2016,1,13,18,0.43,100.0,4.01
2016,1,13,19,0.48,99.44,4.15
2016,1,13,20,0.56,96.75,4.45
2016,1,13,21,0.54,96.31,4.4
2016,1,13,22,0.55,95.88,4.51
2016,1,13,23,0.55,96.25,4.42
2016,1,14,0,0.55,97.0,4.3
2016,1,14,1,0.59,97.31,4.49
2016,1,14,2,0.55,97.56,4.67
2016,1,14,3,0.47,98.44,4.68
2016,1,14,4,0.51,98.81,4.58
2016,1,14,5,0.45,100.0,4.44
2016,1,14,6,0.38,100.0,4.62
2016,1,14,7,0.42,99.56,5.48
2016,1,14,8,0.43,98.69,5.9
2016,1,14,9,0.44,98.25,6.28
2016,1,14,10,0.56,98.31,6.48
2016,1,14,11,0.51,98.31,6.69
2016,1,14,12,0.46,97.81,6.47
2016,1,14,13,0.54,98.5,6.33
2016,1,14,14,0.6,99.25,6.68
2016,1,14,15,0.57,99.5,7.18
2016,1,14,16,0.51,99.69,7.65
2016,1,14,17,0.45,99.75,8.19
2016,1,14,18,0.43,99.12,8.15
2016,1,14,19,0.41,99.25,7.41
2016,1,14,20,0.42,99.31,6.98
2016,1,14,21,0.45,99.31,6.78
2016,1,14,22,0.48,99.31,6.64
2016,1,14,23,0.45,99.12,6.82
2016,1,15,0,0.45,99.0,6.9
2016,1,15,1,0.43,99.06,6.74
2016,1,15,2,0.4,99.06,6.37
2016,1,15,3,0.34,99.19,5.73
2016,1,15,4,0.33,100.0,4.52
2016,1,15,5,0.53,100.0,3.87
2016,1,15,6,0.66,99.5,3.48
2016,1,15,7,0.56,99.69,3.11
2016,1,15,8,0.33,98.19,4.3
2016,1,15,9,0.33,96.44,5.17
2016,1,15,10,0.31,94.12,6.17
2016,1,15,11,0.29,89.81,7.23
2016,1,15,12,0.32,86.31,7.83
2016,1,15,13,0.31,85.44,8.0
2016,1,15,14,0.32,81.81,8.47
2016,1,15,15,0.31,81.62,8.26
2016,1,15,16,0.33,90.5,7.21
2016,1,15,17,0.36,94.94,6.38
2016,1,15,18,0.38,94.81,6.46
2016,1,15,19,0.34,95.88,6.39
2016,1,15,20,0.33,97.38,6.28
2016,1,15,21,0.36,98.06,6.19
2016,1,15,22,0.38,98.56,6.26
2016,1,15,23,0.43,98.75,6.65
2016,1,16,0,0.49,99.0,6.79
2016,1,16,1,0.53,99.12,6.86
2016,1,16,2,0.49,99.12,6.85
2016,1,16,3,0.49,99.12,6.88
2016,1,16,4,0.48,99.5,7.02
2016,1,16,5,0.43,99.94,7.32
2016,1,16,6,0.38,100.0,7.71
2016,1,16,7,0.35,100.0,8.11
2016,1,16,8,0.35,100.0,8.77
2016,1,16,9,0.35,100.0,9.92
2016,1,16,10,0.33,99.25,11.04
2016,1,16,11,0.33,98.44,11.63
2016,1,16,12,0.31,96.44,12.17
2016,1,16,13,0.26,93.0,12.2
2016,1,16,14,0.23,89.56,12.19
2016,1,16,15,0.21,89.25,11.76
2016,1,16,16,0.23,95.12,10.58
2016,1,16,17,0.54,98.75,9.35
2016,1,16,18,0.47,99.69,9.59
2016,1,16,19,0.4,100.0,10.08
2016,1,16,20,0.41,100.0,10.54
2016,1,16,21,0.41,99.38,11.05
2016,1,16,22,0.4,99.31,11.16
2016,1,16,23,0.44,99.31,11.31
2016,1,17,0,0.45,99.31,11.39
2016,1,17,1,0.44,99.25,11.4
2016,1,17,2,0.44,99.31,11.33
2016,1,17,3,0.45,99.31,11.28
2016,1,17,4,0.45,99.38,11.22
2016,1,17,5,0.49,99.38,11.33
2016,1,17,6,0.58,99.31,11.49
2016,1,17,7,0.59,99.19,11.58
2016,1,17,8,0.59,99.0,11.64
2016,1,17,9,0.57,98.75,11.67
2016,1,17,10,0.56,98.38,11.72
2016,1,17,11,0.58,97.75,11.79
2016,1,17,12,0.59,97.5,11.65
