YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,6,22,1.31,98.0,5.58
2016,1,6,23,1.14,98.88,5.19
2016,1,7,0,1.02,99.5,4.81
2016,1,7,1,0.96,99.12,4.89
2016,1,7,2,0.91,98.44,5.23
2016,1,7,3,0.87,98.12,5.35
2016,1,7,4,0.86,98.06,5.27
2016,1,7,5,0.87,97.06,5.33
2016,1,7,6,0.85,95.31,5.59
2016,1,7,7,0.71,94.25,5.98
2016,1,7,8,0.48,94.0,7.4
2016,1,7,9,0.48,85.75,9.06
2016,1,7,10,0.92,77.0,10.25
2016,1,7,11,1.29,72.44,10.72
2016,1,7,12,1.56,70.12,10.94
2016,1,7,13,1.82,69.44,10.84
2016,1,7,14,2.04,69.69,10.73
2016,1,7,15,1.79,73.75,10.1
2016,1,7,16,0.81,87.69,8.27
2016,1,7,17,0.93,89.69,6.71
2016,1,7,18,0.9,91.19,6.46
2016,1,7,19,0.77,92.12,6.31
2016,1,7,20,0.58,90.88,6.52
2016,1,7,21,0.4,92.25,6.3
2016,1,7,22,0.37,94.25,5.97
2016,1,7,23,0.75,99.44,5.15
2016,1,8,0,0.78,100.0,4.66
2016,1,8,1,0.72,100.0,5.07
2016,1,8,2,0.61,100.0,5.17
2016,1,8,3,0.66,100.0,5.15
2016,1,8,4,0.44,100.0,5.34
2016,1,8,5,0.28,100.0,5.27
2016,1,8,6,0.56,100.0,4.6
2016,1,8,7,0.68,100.0,3.94
2016,1,8,8,0.87,98.38,5.37
2016,1,8,9,1.12,94.88,6.32
2016,1,8,10,0.76,83.81,8.44
2016,1,8,11,0.52,71.31,10.7
2016,1,8,12,0.3,64.81,11.99
2016,1,8,13,0.44,62.75,12.46
2016,1,8,14,0.71,63.5,12.33
2016,1,8,15,0.52,73.12,11.49
2016,1,8,16,0.58,80.38,10.07
2016,1,8,17,0.85,84.12,8.58
2016,1,8,18,1.01,90.12,7.48
2016,1,8,19,1.09,91.75,6.93
2016,1,8,20,1.16,92.94,6.58
2016,1,8,21,1.3,93.38,6.44
2016,1,8,22,1.27,94.56,5.95
2016,1,8,23,1.21,96.25,5.6
2016,1,9,0,1.15,98.31,5.45
2016,1,9,1,1.26,98.56,5.72
2016,1,9,2,1.43,97.19,6.33
2016,1,9,3,1.78,96.62,6.82
2016,1,9,4,2.11,96.81,6.91
2016,1,9,5,2.36,95.62,7.01
2016,1,9,6,2.66,94.69,7.18
2016,1,9,7,2.93,94.69,7.29
2016,1,9,8,3.39,94.06,7.71
2016,1,9,9,3.23,92.81,8.26
2016,1,9,10,2.92,91.31,8.85
2016,1,9,11,2.57,90.69,9.4
2016,1,9,12,2.09,91.06,9.71
2016,1,9,13,1.47,92.69,9.78
2016,1,9,14,1.3,93.81,9.85
2016,1,9,15,0.95,95.56,9.78
2016,1,9,16,0.8,96.25,9.28
2016,1,9,17,0.76,95.88,8.9
2016,1,9,18,0.75,95.19,8.63
2016,1,9,19,0.77,96.12,8.15
2016,1,9,20,0.74,96.44,7.99
2016,1,9,21,0.68,95.06,8.13
2016,1,9,22,0.75,96.44,7.73
2016,1,9,23,0.84,97.38,7.27
2016,1,10,0,0.79,97.75,7.11
2016,1,10,1,0.87,99.0,6.97
2016,1,10,2,0.71,99.25,7.02
2016,1,10,3,0.29,98.56,7.33
2016,1,10,4,0.63,100.0,6.56
2016,1,10,5,0.93,100.0,5.7
2016,1,10,6,1.0,100.0,5.15
2016,1,10,7,0.96,100.0,5.37
2016,1,10,8,1.78,97.19,7.45
2016,1,10,9,2.09,91.62,9.04
2016,1,10,10,2.19,82.44,10.42
2016,1,10,11,1.94,71.56,11.89
2016,1,10,12,1.54,61.62,13.17
2016,1,10,13,1.25,58.06,13.79
2016,1,10,14,1.13,58.25,13.74
2016,1,10,15,0.95,64.12,13.02
2016,1,10,16,0.67,77.88,10.93
2016,1,10,17,0.98,78.44,9.04
2016,1,10,18,1.06,84.69,7.73
2016,1,10,19,1.06,89.31,7.09
2016,1,10,20,1.07,91.25,6.79
2016,1,10,21,1.09,92.5,6.64
2016,1,10,22,1.06,93.62,6.66
2016,1,10,23,1.01,93.62,6.97
2016,1,11,0,1.02,93.56,7.42
2016,1,11,1,1.08,93.25,7.63
2016,1,11,2,1.1,92.88,7.55
2016,1,11,3,1.06,92.31,7.4
2016,1,11,4,1.04,91.56,7.41
2016,1,11,5,1.03,90.94,7.43
2016,1,11,6,1.01,90.62,7.41
2016,1,11,7,1.01,90.38,7.51
2016,1,11,8,1.08,88.19,8.56
2016,1,11,9,1.69,80.19,9.88
2016,1,11,10,1.66,77.19,11.01
2016,1,11,11,1.5,73.31,13.02
2016,1,11,12,1.42,72.06,14.43
2016,1,11,13,1.38,71.38,15.09
2016,1,11,14,1.37,71.44,15.23
2016,1,11,15,1.01,76.94,14.71
2016,1,11,16,0.78,85.19,12.51
2016,1,11,17,0.99,84.38,10.85
2016,1,11,18,0.99,86.62,9.95
2016,1,11,19,0.97,89.19,9.04
2016,1,11,20,0.99,91.62,8.33
2016,1,11,21,1.0,93.06,7.72
2016,1,11,22,1.05,95.44,6.84
2016,1,11,23,1.17,99.38,5.96
2016,1,12,0,1.28,100.0,5.52
2016,1,12,1,1.15,100.0,5.29
2016,1,12,2,0.85,94.06,6.37
2016,1,12,3,0.42,89.38,7.18
2016,1,12,4,0.82,94.94,6.48
2016,1,12,5,1.47,100.0,5.13
2016,1,12,6,1.99,100.0,5.27
2016,1,12,7,1.84,100.0,5.51
2016,1,12,8,2.11,89.0,7.97
2016,1,12,9,1.94,82.81,9.82
2016,1,12,10,1.28,78.69,11.52
2016,1,12,11,1.55,69.88,13.7
2016,1,12,12,1.6,65.75,15.01
2016,1,12,13,1.58,65.31,15.64
2016,1,12,14,1.43,67.69,15.65
2016,1,12,15,1.01,79.38,14.8
2016,1,12,16,1.0,88.06,12.26
2016,1,12,17,1.07,91.38,11.02
2016,1,12,18,1.12,93.25,10.63
